profileID,respID,qID,altID,obsID,Cooktop_Type,final_cost_price,Average_annual_usage_Cost,Indoor_air_Quality,number_of_burners,image
139,1,1,1,1,Gas,800,6,10,4,g4.jpg
188,1,1,2,1,Electric,1500,8,0,5,e5.jpg
222,1,1,3,1,Induction,800,6,10,5,i5.jpg
175,1,2,1,2,Gas,800,7,0,5,g5.jpg
56,1,2,2,2,Electric,500,6,10,3,e3.jpg
174,1,2,3,2,Induction,500,7,0,5,i5.jpg
160,1,3,1,3,Gas,1500,8,10,4,g4.jpg
209,1,3,2,3,Electric,500,8,5,5,e5.jpg
39,1,3,3,3,Induction,500,7,5,3,i3.jpg
184,1,4,1,4,Gas,800,8,0,5,g5.jpg
83,1,4,2,4,Electric,500,6,0,4,e4.jpg
159,1,4,3,4,Induction,800,8,10,4,i4.jpg
10,1,5,1,5,Gas,500,7,0,3,g3.jpg
224,1,5,2,5,Electric,1500,6,10,5,e5.jpg
225,1,5,3,5,Induction,1500,6,10,5,i5.jpg
40,1,6,1,6,Gas,800,7,5,3,g3.jpg
83,1,6,2,6,Electric,500,6,0,4,e4.jpg
84,1,6,3,6,Induction,500,6,0,4,i4.jpg
166,1,7,1,7,Gas,800,6,0,5,g5.jpg
29,1,7,2,7,Electric,500,6,5,3,e3.jpg
153,1,7,3,7,Induction,1500,7,10,4,i4.jpg
232,1,8,1,8,Gas,1500,7,10,5,g5.jpg
197,1,8,2,8,Electric,1500,6,5,5,e5.jpg
18,1,8,3,8,Induction,1500,7,0,3,i3.jpg
175,2,1,1,9,Gas,800,7,0,5,g5.jpg
230,2,1,2,9,Electric,800,7,10,5,e5.jpg
129,2,1,3,9,Induction,500,8,5,4,i4.jpg
223,2,2,1,10,Gas,1500,6,10,5,g5.jpg
101,2,2,2,10,Electric,500,8,0,4,e4.jpg
132,2,2,3,10,Induction,800,8,5,4,i4.jpg
76,2,3,1,11,Gas,800,8,10,3,g3.jpg
152,2,3,2,11,Electric,1500,7,10,4,e4.jpg
234,2,3,3,11,Induction,1500,7,10,5,i5.jpg
79,2,4,1,12,Gas,1500,8,10,3,g3.jpg
182,2,4,2,12,Electric,500,8,0,5,e5.jpg
141,2,4,3,12,Induction,800,6,10,4,i4.jpg
226,2,5,1,13,Gas,500,7,10,5,g5.jpg
83,2,5,2,13,Electric,500,6,0,4,e4.jpg
75,2,5,3,13,Induction,500,8,10,3,i3.jpg
85,2,6,1,14,Gas,800,6,0,4,g4.jpg
23,2,6,2,14,Electric,800,8,0,3,e3.jpg
24,2,6,3,14,Induction,800,8,0,3,i3.jpg
187,2,7,1,15,Gas,1500,8,0,5,g5.jpg
44,2,7,2,15,Electric,1500,7,5,3,e3.jpg
141,2,7,3,15,Induction,800,6,10,4,i4.jpg
73,2,8,1,16,Gas,500,8,10,3,g3.jpg
98,2,8,2,16,Electric,1500,7,0,4,e4.jpg
216,2,8,3,16,Induction,1500,8,5,5,i5.jpg
70,3,1,1,17,Gas,1500,7,10,3,g3.jpg
173,3,1,2,17,Electric,500,7,0,5,e5.jpg
192,3,1,3,17,Induction,500,6,5,5,i5.jpg
157,3,2,1,18,Gas,800,8,10,4,g4.jpg
116,3,2,2,18,Electric,1500,6,5,4,e4.jpg
228,3,2,3,18,Induction,500,7,10,5,i5.jpg
115,3,3,1,19,Gas,1500,6,5,4,g4.jpg
242,3,3,2,19,Electric,1500,8,10,5,e5.jpg
3,3,3,3,19,Induction,500,6,0,3,i3.jpg
34,3,4,1,20,Gas,1500,6,5,3,g3.jpg
125,3,4,2,20,Electric,1500,7,5,4,e4.jpg
192,3,4,3,20,Induction,500,6,5,5,i5.jpg
76,3,5,1,21,Gas,800,8,10,3,g3.jpg
62,3,5,2,21,Electric,1500,6,10,3,e3.jpg
198,3,5,3,21,Induction,1500,6,5,5,i5.jpg
181,3,6,1,22,Gas,500,8,0,5,g5.jpg
188,3,6,2,22,Electric,1500,8,0,5,e5.jpg
180,3,6,3,22,Induction,1500,7,0,5,i5.jpg
82,3,7,1,23,Gas,500,6,0,4,g4.jpg
23,3,7,2,23,Electric,800,8,0,3,e3.jpg
198,3,7,3,23,Induction,1500,6,5,5,i5.jpg
22,3,8,1,24,Gas,800,8,0,3,g3.jpg
8,3,8,2,24,Electric,1500,6,0,3,e3.jpg
153,3,8,3,24,Induction,1500,7,10,4,i4.jpg
160,4,1,1,25,Gas,1500,8,10,4,g4.jpg
149,4,1,2,25,Electric,800,7,10,4,e4.jpg
114,4,1,3,25,Induction,800,6,5,4,i4.jpg
115,4,2,1,26,Gas,1500,6,5,4,g4.jpg
227,4,2,2,26,Electric,500,7,10,5,e5.jpg
201,4,2,3,26,Induction,500,7,5,5,i5.jpg
127,4,3,1,27,Gas,500,8,5,4,g4.jpg
170,4,3,2,27,Electric,1500,6,0,5,e5.jpg
36,4,3,3,27,Induction,1500,6,5,3,i3.jpg
163,4,4,1,28,Gas,500,6,0,5,g5.jpg
242,4,4,2,28,Electric,1500,8,10,5,e5.jpg
42,4,4,3,28,Induction,800,7,5,3,i3.jpg
31,4,5,1,29,Gas,800,6,5,3,g3.jpg
155,4,5,2,29,Electric,500,8,10,4,e4.jpg
39,4,5,3,29,Induction,500,7,5,3,i3.jpg
4,4,6,1,30,Gas,800,6,0,3,g3.jpg
146,4,6,2,30,Electric,500,7,10,4,e4.jpg
36,4,6,3,30,Induction,1500,6,5,3,i3.jpg
175,4,7,1,31,Gas,800,7,0,5,g5.jpg
143,4,7,2,31,Electric,1500,6,10,4,e4.jpg
159,4,7,3,31,Induction,800,8,10,4,i4.jpg
13,4,8,1,32,Gas,800,7,0,3,g3.jpg
224,4,8,2,32,Electric,1500,6,10,5,e5.jpg
135,4,8,3,32,Induction,1500,8,5,4,i4.jpg
94,5,1,1,33,Gas,800,7,0,4,g4.jpg
101,5,1,2,33,Electric,500,8,0,4,e4.jpg
144,5,1,3,33,Induction,1500,6,10,4,i4.jpg
229,5,2,1,34,Gas,800,7,10,5,g5.jpg
149,5,2,2,34,Electric,800,7,10,4,e4.jpg
147,5,2,3,34,Induction,500,7,10,4,i4.jpg
64,5,3,1,35,Gas,500,7,10,3,g3.jpg
221,5,3,2,35,Electric,800,6,10,5,e5.jpg
240,5,3,3,35,Induction,800,8,10,5,i5.jpg
205,5,4,1,36,Gas,1500,7,5,5,g5.jpg
125,5,4,2,36,Electric,1500,7,5,4,e4.jpg
9,5,4,3,36,Induction,1500,6,0,3,i3.jpg
154,5,5,1,37,Gas,500,8,10,4,g4.jpg
143,5,5,2,37,Electric,1500,6,10,4,e4.jpg
111,5,5,3,37,Induction,500,6,5,4,i4.jpg
121,5,6,1,38,Gas,800,7,5,4,g4.jpg
131,5,6,2,38,Electric,800,8,5,4,e4.jpg
201,5,6,3,38,Induction,500,7,5,5,i5.jpg
205,5,7,1,39,Gas,1500,7,5,5,g5.jpg
125,5,7,2,39,Electric,1500,7,5,4,e4.jpg
198,5,7,3,39,Induction,1500,6,5,5,i5.jpg
124,5,8,1,40,Gas,1500,7,5,4,g4.jpg
110,5,8,2,40,Electric,500,6,5,4,e4.jpg
174,5,8,3,40,Induction,500,7,0,5,i5.jpg
13,6,1,1,41,Gas,800,7,0,3,g3.jpg
50,6,1,2,41,Electric,800,8,5,3,e3.jpg
213,6,1,3,41,Induction,800,8,5,5,i5.jpg
133,6,2,1,42,Gas,1500,8,5,4,g4.jpg
122,6,2,2,42,Electric,800,7,5,4,e4.jpg
111,6,2,3,42,Induction,500,6,5,4,i4.jpg
151,6,3,1,43,Gas,1500,7,10,4,g4.jpg
107,6,3,2,43,Electric,1500,8,0,4,e4.jpg
123,6,3,3,43,Induction,800,7,5,4,i4.jpg
52,6,4,1,44,Gas,1500,8,5,3,g3.jpg
53,6,4,2,44,Electric,1500,8,5,3,e3.jpg
180,6,4,3,44,Induction,1500,7,0,5,i5.jpg
4,6,5,1,45,Gas,800,6,0,3,g3.jpg
38,6,5,2,45,Electric,500,7,5,3,e3.jpg
135,6,5,3,45,Induction,1500,8,5,4,i4.jpg
52,6,6,1,46,Gas,1500,8,5,3,g3.jpg
20,6,6,2,46,Electric,500,8,0,3,e3.jpg
36,6,6,3,46,Induction,1500,6,5,3,i3.jpg
28,6,7,1,47,Gas,500,6,5,3,g3.jpg
194,6,7,2,47,Electric,800,6,5,5,e5.jpg
147,6,7,3,47,Induction,500,7,10,4,i4.jpg
172,6,8,1,48,Gas,500,7,0,5,g5.jpg
161,6,8,2,48,Electric,1500,8,10,4,e4.jpg
180,6,8,3,48,Induction,1500,7,0,5,i5.jpg
232,7,1,1,49,Gas,1500,7,10,5,g5.jpg
134,7,1,2,49,Electric,1500,8,5,4,e4.jpg
9,7,1,3,49,Induction,1500,6,0,3,i3.jpg
91,7,2,1,50,Gas,500,7,0,4,g4.jpg
89,7,2,2,50,Electric,1500,6,0,4,e4.jpg
117,7,2,3,50,Induction,1500,6,5,4,i4.jpg
10,7,3,1,51,Gas,500,7,0,3,g3.jpg
143,7,3,2,51,Electric,1500,6,10,4,e4.jpg
222,7,3,3,51,Induction,800,6,10,5,i5.jpg
241,7,4,1,52,Gas,1500,8,10,5,g5.jpg
44,7,4,2,52,Electric,1500,7,5,3,e3.jpg
24,7,4,3,52,Induction,800,8,0,3,i3.jpg
10,7,5,1,53,Gas,500,7,0,3,g3.jpg
185,7,5,2,53,Electric,800,8,0,5,e5.jpg
231,7,5,3,53,Induction,800,7,10,5,i5.jpg
64,7,6,1,54,Gas,500,7,10,3,g3.jpg
209,7,6,2,54,Electric,500,8,5,5,e5.jpg
87,7,6,3,54,Induction,800,6,0,4,i4.jpg
217,7,7,1,55,Gas,500,6,10,5,g5.jpg
29,7,7,2,55,Electric,500,6,5,3,e3.jpg
216,7,7,3,55,Induction,1500,8,5,5,i5.jpg
16,7,8,1,56,Gas,1500,7,0,3,g3.jpg
161,7,8,2,56,Electric,1500,8,10,4,e4.jpg
93,7,8,3,56,Induction,500,7,0,4,i4.jpg
7,8,1,1,57,Gas,1500,6,0,3,g3.jpg
146,8,1,2,57,Electric,500,7,10,4,e4.jpg
27,8,1,3,57,Induction,1500,8,0,3,i3.jpg
22,8,2,1,58,Gas,800,8,0,3,g3.jpg
107,8,2,2,58,Electric,1500,8,0,4,e4.jpg
243,8,2,3,58,Induction,1500,8,10,5,i5.jpg
181,8,3,1,59,Gas,500,8,0,5,g5.jpg
101,8,3,2,59,Electric,500,8,0,4,e4.jpg
228,8,3,3,59,Induction,500,7,10,5,i5.jpg
22,8,4,1,60,Gas,800,8,0,3,g3.jpg
164,8,4,2,60,Electric,500,6,0,5,e5.jpg
84,8,4,3,60,Induction,500,6,0,4,i4.jpg
235,8,5,1,61,Gas,500,8,10,5,g5.jpg
203,8,5,2,61,Electric,800,7,5,5,e5.jpg
3,8,5,3,61,Induction,500,6,0,3,i3.jpg
208,8,6,1,62,Gas,500,8,5,5,g5.jpg
65,8,6,2,62,Electric,500,7,10,3,e3.jpg
189,8,6,3,62,Induction,1500,8,0,5,i5.jpg
241,8,7,1,63,Gas,1500,8,10,5,g5.jpg
191,8,7,2,63,Electric,500,6,5,5,e5.jpg
138,8,7,3,63,Induction,500,6,10,4,i4.jpg
7,8,8,1,64,Gas,1500,6,0,3,g3.jpg
227,8,8,2,64,Electric,500,7,10,5,e5.jpg
57,8,8,3,64,Induction,500,6,10,3,i3.jpg
112,9,1,1,65,Gas,800,6,5,4,g4.jpg
185,9,1,2,65,Electric,800,8,0,5,e5.jpg
21,9,1,3,65,Induction,500,8,0,3,i3.jpg
43,9,2,1,66,Gas,1500,7,5,3,g3.jpg
35,9,2,2,66,Electric,1500,6,5,3,e3.jpg
18,9,2,3,66,Induction,1500,7,0,3,i3.jpg
169,9,3,1,67,Gas,1500,6,0,5,g5.jpg
200,9,3,2,67,Electric,500,7,5,5,e5.jpg
30,9,3,3,67,Induction,500,6,5,3,i3.jpg
7,9,4,1,68,Gas,1500,6,0,3,g3.jpg
23,9,4,2,68,Electric,800,8,0,3,e3.jpg
99,9,4,3,68,Induction,1500,7,0,4,i4.jpg
127,9,5,1,69,Gas,500,8,5,4,g4.jpg
