profileID,respID,qID,altID,obsID,Cooktop_Type,final_cost_price,Average_annual_usage_Cost,number_of_burners,image
235,1,1,1,1,Gas,500,60,5,g5.jpg
17,1,1,2,1,Electric,1500,50,3,e3.jpg
282,1,1,3,1,Induction,1100,80,5,i5.jpg
16,1,2,1,2,Gas,1500,50,3,g3.jpg
68,1,2,2,2,Electric,1300,80,3,e3.jpg
273,1,2,3,2,Induction,500,80,5,i5.jpg
226,1,3,1,3,Gas,1100,50,5,g5.jpg
92,1,3,2,3,Electric,500,100,3,e3.jpg
303,1,3,3,3,Induction,1300,90,5,i5.jpg
208,1,4,1,4,Gas,1100,100,4,g4.jpg
143,1,4,2,4,Electric,1500,60,4,e4.jpg
120,1,4,3,4,Induction,1100,50,4,i4.jpg
277,1,5,1,5,Gas,900,80,5,g5.jpg
11,1,5,2,5,Electric,1100,50,3,e3.jpg
60,1,5,3,5,Induction,700,80,3,i3.jpg
97,1,6,1,6,Gas,900,100,3,g3.jpg
167,1,6,2,6,Electric,700,80,4,e4.jpg
87,1,6,3,6,Induction,1300,90,3,i3.jpg
319,1,7,1,7,Gas,1300,100,5,g5.jpg
95,1,7,2,7,Electric,700,100,3,e3.jpg
144,1,7,3,7,Induction,1500,60,4,i4.jpg
40,1,8,1,8,Gas,700,70,3,g3.jpg
200,1,8,2,8,Electric,500,100,4,e4.jpg
297,1,8,3,8,Induction,900,90,5,i5.jpg
61,2,1,1,9,Gas,900,80,3,g3.jpg
212,2,1,2,9,Electric,1300,100,4,e4.jpg
123,2,1,3,9,Induction,1300,50,4,i4.jpg
13,2,2,1,10,Gas,1300,50,3,g3.jpg
20,2,2,2,10,Electric,500,60,3,e3.jpg
306,2,2,3,10,Induction,1500,90,5,i5.jpg
277,2,3,1,11,Gas,900,80,5,g5.jpg
86,2,3,2,11,Electric,1300,90,3,e3.jpg
162,2,3,3,11,Induction,1500,70,4,i4.jpg
145,2,4,1,12,Gas,500,70,4,g4.jpg
98,2,4,2,12,Electric,900,100,3,e3.jpg
219,2,4,3,12,Induction,500,50,5,i5.jpg
28,2,5,1,13,Gas,1100,60,3,g3.jpg
14,2,5,2,13,Electric,1300,50,3,e3.jpg
216,2,5,3,13,Induction,1500,100,4,i4.jpg
40,2,6,1,14,Gas,700,70,3,g3.jpg
110,2,6,2,14,Electric,500,50,4,e4.jpg
306,2,6,3,14,Induction,1500,90,5,i5.jpg
