respID,qID,profileID,altID,obsID,choice,time_sec_p1,ownhome,oftencook,time_sec_p2,time_sec_p3,induction,inductionOther,heatingeff,heatingeffOther,carbon,carbonOther,yearOfBirth,feedback,time_min_total,Cooktop_Type,final_cost_price,Average_annual_usage_Cost,Indoor_air_Quality,number_of_burners
1,1,187,1,1,0,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Gas,1500,8,0,5
1,1,104,2,1,0,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Electric,800,8,0,4
1,1,27,3,1,1,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Induction,1500,8,0,3
1,2,52,1,2,0,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Gas,1500,8,5,3
1,2,164,2,2,1,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Electric,500,6,0,5
1,2,159,3,2,0,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Induction,800,8,10,4
1,3,22,1,3,0,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Gas,800,8,0,3
1,3,5,2,3,1,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Electric,800,6,0,3
1,3,150,3,3,0,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Induction,800,7,10,4
1,4,76,1,4,0,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Gas,800,8,10,3
1,4,59,2,4,0,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Electric,800,6,10,3
1,4,114,3,4,1,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Induction,800,6,5,4
1,5,64,1,5,0,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Gas,500,7,10,3
1,5,71,2,5,1,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Electric,1500,7,10,3
1,5,207,3,5,0,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Induction,1500,7,5,5
1,6,154,1,6,0,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Gas,500,8,10,4
1,6,56,2,6,1,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Electric,500,6,10,3
1,6,42,3,6,0,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Induction,800,7,5,3
1,7,175,1,7,0,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Gas,800,7,0,5
1,7,113,2,7,1,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Electric,800,6,5,4
1,7,111,3,7,0,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Induction,500,6,5,4
1,8,229,1,8,0,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Gas,800,7,10,5
1,8,158,2,8,1,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Electric,800,8,10,4
1,8,198,3,8,0,28,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.1,Induction,1500,6,5,5
