profileID,respID,qID,altID,obsID,Cooktop_Type,final_cost_price,Average_annual_usage_Cost,Indoor_air_Quality,number_of_burners
96,1,1,1,1,Induction,800,7,0,4
87,1,1,2,1,Induction,800,6,0,4
143,1,1,3,1,Electric,1500,6,10,4
242,1,2,1,2,Electric,1500,8,10,5
196,1,2,2,2,Gas,1500,6,5,5
211,1,2,3,2,Gas,800,8,5,5
193,1,3,1,3,Gas,800,6,5,5
142,1,3,2,3,Gas,1500,6,10,4
156,1,3,3,3,Induction,500,8,10,4
144,1,4,1,4,Induction,1500,6,10,4
20,1,4,2,4,Electric,500,8,0,3
112,1,4,3,4,Gas,800,6,5,4
243,1,5,1,5,Induction,1500,8,10,5
20,1,5,2,5,Electric,500,8,0,3
86,1,5,3,5,Electric,800,6,0,4
100,1,6,1,6,Gas,500,8,0,4
149,1,6,2,6,Electric,800,7,10,4
71,1,6,3,6,Electric,1500,7,10,3
72,1,7,1,7,Induction,1500,7,10,3
149,1,7,2,7,Electric,800,7,10,4
60,1,7,3,7,Induction,800,6,10,3
188,1,8,1,8,Electric,1500,8,0,5
241,1,8,2,8,Gas,1500,8,10,5
105,1,8,3,8,Induction,800,8,0,4
156,2,1,1,9,Induction,500,8,10,4
41,2,1,2,9,Electric,800,7,5,3
27,2,1,3,9,Induction,1500,8,0,3
201,2,2,1,10,Induction,500,7,5,5
188,2,2,2,10,Electric,1500,8,0,5
88,2,2,3,10,Gas,1500,6,0,4
73,2,3,1,11,Gas,500,8,10,3
66,2,3,2,11,Induction,500,7,10,3
15,2,3,3,11,Induction,800,7,0,3
51,2,4,1,12,Induction,800,8,5,3
88,2,4,2,12,Gas,1500,6,0,4
131,2,4,3,12,Electric,800,8,5,4
186,2,5,1,13,Induction,800,8,0,5
29,2,5,2,13,Electric,500,6,5,3
98,2,5,3,13,Electric,1500,7,0,4
54,2,6,1,14,Induction,1500,8,5,3
186,2,6,2,14,Induction,800,8,0,5
17,2,6,3,14,Electric,1500,7,0,3
44,2,7,1,15,Electric,1500,7,5,3
83,2,7,2,15,Electric,500,6,0,4
24,2,7,3,15,Induction,800,8,0,3
57,2,8,1,16,Induction,500,6,10,3
205,2,8,2,16,Gas,1500,7,5,5
207,2,8,3,16,Induction,1500,7,5,5
117,3,1,1,17,Induction,1500,6,5,4
146,3,1,2,17,Electric,500,7,10,4
59,3,1,3,17,Electric,800,6,10,3
194,3,2,1,18,Electric,800,6,5,5
96,3,2,2,18,Induction,800,7,0,4
113,3,2,3,18,Electric,800,6,5,4
70,3,3,1,19,Gas,1500,7,10,3
38,3,3,2,19,Electric,500,7,5,3
63,3,3,3,19,Induction,1500,6,10,3
182,3,4,1,20,Electric,500,8,0,5
28,3,4,2,20,Gas,500,6,5,3
102,3,4,3,20,Induction,500,8,0,4
201,3,5,1,21,Induction,500,7,5,5
78,3,5,2,21,Induction,800,8,10,3
100,3,5,3,21,Gas,500,8,0,4
76,3,6,1,22,Gas,800,8,10,3
9,3,6,2,22,Induction,1500,6,0,3
102,3,6,3,22,Induction,500,8,0,4
